// CXL Trace automatically generated
// Format: <R/W> <Address(hex)> <Time(us)> <CompressionRatio(%)>
// Parameters: 500 pages, 0.03 us avg interval, 10000 requests

R 0x21b6ff3b40 59.887 50.1
R 0x36e4046d80 59.891 47.4
R 0x6d1c0fef00 59.900 50.4
R 0x24731435c0 59.908 47.0
R 0x5654eb4280 59.913 52.8
R 0x60667c2340 59.919 45.8
R 0x1b53700f80 59.974 52.3
R 0x4e8905c300 60.067 48.2
R 0x3d93220ac0 60.086 49.8
R 0x30fe1132c0 60.120 53.0
R 0x5bb4bdd100 60.138 54.6
R 0x402f31eac0 60.138 50.6
R 0x66963d3d80 60.195 54.1
R 0x3e39049500 60.200 45.6
R 0x17a0da5b00 60.217 45.7
R 0x3182e5ff80 60.242 47.8
R 0x5358e6f80 60.251 50.0
R 0x4bdf17c900 60.275 54.5
R 0x3a33276ec0 60.275 52.5
R 0x2ca15f8480 60.278 46.3
R 0x7bea479280 60.309 49.1
R 0x3552b98c40 60.318 48.3
R 0x216cb89040 60.367 45.1
R 0xa595c8b00 60.391 54.4
R 0x21b6ff3f80 60.515 48.6
R 0x5613939140 60.527 47.6
R 0x443c8fa540 60.573 52.2
R 0x5fc3cf7ec0 60.585 54.8
R 0x2473143cc0 60.588 49.7
R 0xb07bb60c0 60.601 54.1
R 0x7262677b80 60.603 50.3
R 0x4dfebd2540 60.614 53.8
R 0x27b86a5540 60.639 47.9
R 0x601d941f40 60.647 54.5
R 0x5abf1004c0 60.661 49.7
R 0x7b0b630580 60.819 53.5
R 0x6651771280 60.842 51.6
R 0x2d8f47b600 60.843 47.2
R 0x2f1d8b5bc0 60.846 47.8
R 0x7df8597200 60.862 52.5
R 0x4497712280 60.877 50.5
R 0x47a02901c0 60.944 50.0
R 0x4497712e40 60.956 52.0
R 0x36aefc4d80 61.021 49.3
R 0x41c921bd40 61.052 51.2
R 0x7c5486cd00 61.065 45.9
R 0x6a1e7c7740 61.082 53.7
R 0x5a6d16280 61.095 46.1
R 0x56139392c0 61.108 45.8
R 0x443c8fa780 61.113 49.8
R 0x42eaefb1c0 61.196 51.4
R 0x21d1ac9180 61.233 52.3
R 0x66ad814340 61.309 50.7
R 0x5602d8e880 61.319 52.3
R 0x9ad0a8cc0 61.330 49.3
R 0x24fe9b1ac0 61.363 47.9
R 0x6b8515eb40 61.369 51.1
R 0x5176410b40 61.371 46.1
R 0x78068f1dc0 61.382 52.2
R 0x25b66b60c0 61.403 48.4
R 0x5f10f44300 61.481 52.6
R 0x465f27dd40 61.493 49.6
R 0x71d40e80c0 61.535 54.1
R 0x2e05c8af00 61.545 50.1
R 0x5b89c5c980 61.565 50.5
R 0x366fd2dc40 61.583 46.7
R 0x25e25415c0 61.586 52.5
R 0x2993a912c0 61.625 52.7
R 0x6b2b256840 61.639 45.4
R 0x7cc8aeb580 61.670 47.2
R 0x27b86a5700 61.699 51.2
R 0x333389eb80 61.750 52.6
R 0x747dddfdc0 61.813 49.5
R 0x6c2e58d440 61.924 53.9
R 0x6d10734cc0 61.926 45.1
R 0x69b2815980 61.928 46.0
R 0x4915089f80 61.932 48.6
R 0x6fab70900 61.934 45.9
R 0x46ade4fdc0 61.954 53.8
R 0x5203c28280 61.986 47.1
R 0x1feb65b580 61.999 54.1
R 0x94da8e4c0 62.020 48.0
R 0x394ddd1100 62.065 53.5
R 0x4b6fedbf80 62.172 54.3
R 0x89bece480 62.181 54.3
R 0x4a12977940 62.220 45.0
R 0x740bed5640 62.237 52.1
R 0x96b60d4c0 62.258 47.4
R 0x47b3286a80 62.287 47.8
R 0x6651771d40 62.344 54.4
R 0x5c18091940 62.372 47.0
R 0x40c2ce200 62.378 46.0
R 0x100790f480 62.396 45.9
R 0x5edf121a80 62.420 48.2
R 0x43df23c7c0 62.463 53.1
R 0x480e0f96c0 62.505 54.6
R 0x89becec00 62.531 48.8
R 0x76790d8ac0 62.604 46.3
R 0x2264fba240 62.624 49.2
R 0x40c2cef00 62.627 55.0
R 0x5525d481c0 62.650 48.7
R 0x4e7bdc1380 62.694 48.7
R 0x76b455b9c0 62.740 52.9
R 0x76f672c640 62.805 46.8
R 0x36852963c0 62.889 49.9
R 0x6500496cc0 62.900 48.8
R 0x79b9a43380 62.957 54.2
R 0x599b887b80 62.999 45.9
R 0x77201f7200 63.090 46.7
R 0x70164ae400 63.166 47.8
R 0x43357401c0 63.224 50.6
R 0x136445ea40 63.244 48.3
R 0x5311671580 63.257 51.5
R 0x5ead39a4c0 63.292 52.5
R 0x68287c980 63.335 48.1
R 0x76b70c4ac0 63.345 49.5
R 0x2be60d0100 63.379 52.5
R 0x3f28b4ec00 63.435 50.3
R 0x33eb82d440 63.457 46.6
R 0x136445ef00 63.473 46.3
R 0x5cab9415c0 63.484 50.9
R 0x4335740d00 63.487 54.1
R 0x6a0706fe80 63.490 46.5
R 0x72f6213b00 63.569 46.1
R 0x6c91c648c0 63.570 49.8
R 0x19f3a4d9c0 63.573 48.8
R 0x3514634800 63.583 53.0
R 0x7cacf68000 63.590 47.2
R 0x3e6a6cfa40 63.620 50.9
R 0x21b6ff3e80 63.624 54.2
R 0x5507a3a4c0 63.656 47.5
R 0x76790d8080 63.664 45.7
R 0x3a33276900 63.746 50.4
R 0x5507a3ab40 63.758 53.9
R 0x5b89c5c240 63.759 53.2
R 0x5cabc90080 63.776 46.3
R 0x45827d9f00 63.875 51.7
R 0x2ec0df8180 63.889 53.4
R 0x168221fc0 63.908 51.2
R 0x1bb4cae9c0 63.936 52.2
R 0x188c2d7c40 63.943 52.0
R 0x6d10734840 64.049 53.7
R 0x47a648a700 64.065 48.3
R 0x740bed5cc0 64.072 45.2
R 0x4e54883880 64.090 53.4
R 0x747dddf600 64.090 53.6
R 0x1fa98ba680 64.119 45.6
R 0x65d2084a00 64.140 54.3
R 0x2ec0df8d80 64.191 46.9
R 0x4bdf17c200 64.206 52.8
R 0x6e79b3a780 64.273 52.5
R 0x136445eb00 64.289 45.3
R 0x35146348c0 64.398 46.2
R 0x5c0dc12440 64.446 47.0
R 0x7735c34e40 64.452 51.2
R 0x59f7d0a780 64.485 53.3
R 0x2b73db3300 64.489 48.4
R 0x6b2808f40 64.531 53.7
R 0x6795922cc0 64.543 53.7
R 0x7b0f5e4240 64.595 50.8
R 0x484489d880 64.600 51.0
R 0x43df23c3c0 64.667 45.4
R 0x3d9bdab540 64.671 48.5
R 0x7b6ff7ad80 64.758 54.8
R 0x4a7dda4d40 64.785 49.2
R 0x647338cf00 64.813 46.9
R 0x7cacf687c0 64.829 53.1
R 0x442db27640 64.849 46.7
R 0x6fb11198c0 64.879 45.4
R 0x68c2edd240 64.928 54.6
R 0x3b1129ec00 64.972 49.0
R 0x30fe113f00 64.979 53.7
R 0x5dabaa95c0 64.986 53.3
R 0x64d209ccc0 64.986 53.0
R 0x43bfce1c40 65.048 52.3
R 0x719ff5fa40 65.058 54.8
R 0x271523d00 65.071 49.0
R 0xca042ce80 65.092 47.2
R 0x5af24adbc0 65.098 51.8
R 0x6500496a00 65.125 48.7
R 0x42fa108b40 65.130 48.1
R 0x767563a7c0 65.197 47.9
R 0x5176410340 65.223 48.6
R 0x4e29a6ff80 65.235 53.8
R 0x6d1c0fe9c0 65.245 46.8
R 0x393a407380 65.259 46.2
R 0x3e39049480 65.279 47.5
R 0x4817d8b700 65.348 48.6
R 0x63ade2a100 65.390 54.4
R 0x3f38141080 65.437 45.5
R 0x2f1d8b5ac0 65.441 54.7
R 0x4c17ec5b00 65.492 51.6
R 0x36e4046e00 65.518 48.8
R 0x7e4a3ed900 65.526 54.3
R 0x3901931840 65.558 52.5
R 0x3514634a80 65.559 47.2
R 0x5bd7a37300 65.590 47.8
R 0x2978748b40 65.597 46.8
R 0x30599017c0 65.632 50.0
R 0x3d7d343340 65.666 53.2
R 0x2264fbaf40 65.695 46.2
R 0x271523440 65.752 45.9
R 0x2473143d00 65.755 50.1
R 0x42fa108900 65.834 46.5
R 0x5613939e00 65.835 51.8
R 0x8a15429c0 65.845 47.3
R 0x480e0f94c0 65.851 53.6
R 0x5ed13dd4c0 65.855 45.7
R 0x3ab08455c0 65.875 53.4
R 0x7e4a3edb40 65.901 47.4
R 0xca042cf00 65.925 49.0
R 0x4915089000 65.943 48.4
R 0x4335740d40 65.951 49.7
R 0x4f344294c0 65.960 52.7
R 0x54375eae40 65.986 51.5
R 0x1ce1f25dc0 66.000 48.4
R 0x4dfebd2800 66.061 48.8
R 0x3a01ba7d80 66.072 48.9
R 0x6ae4edfd80 66.091 45.1
R 0x5f69eed40 66.099 47.3
R 0x168221f00 66.123 52.4
R 0x5176410340 66.131 47.0
R 0x443c8fa340 66.166 50.0
R 0x7c367e6400 66.174 49.3
R 0x4f6eb4c640 66.179 45.9
R 0x1107a79880 66.222 48.3
R 0x272bb5c1c0 66.222 48.8
R 0x6596437f40 66.331 45.8
R 0x2d8f47b700 66.372 45.0
R 0x5cab941b80 66.435 45.3
R 0x4e54883d40 66.439 46.0
R 0x3e39049700 66.479 45.3
R 0x249df8eec0 66.490 53.6
R 0x2fbf6f15c0 66.492 47.1
R 0x3d93220bc0 66.508 54.1
R 0x6ce4ef2b40 66.512 53.2
R 0x6596437980 66.572 52.6
R 0x4f34429340 66.705 50.4
R 0x31646a69c0 66.720 51.2
R 0x65e2aba780 66.792 52.1
R 0x5dabaa9640 66.803 53.0
R 0x601d941e80 66.817 55.0
R 0x21d1ac94c0 66.819 45.2
R 0x66963d3080 66.888 48.7
R 0x7e4a3ed740 66.948 46.8
R 0x58870bf9c0 67.029 51.3
R 0x5024860b80 67.037 48.3
R 0x7bc7cbf7c0 67.047 51.1
R 0x67ad465ec0 67.282 51.0
R 0x4f6eb4c900 67.303 49.7
R 0x2e05c8a440 67.401 49.2
R 0x65d2084480 67.419 53.2
R 0x440b98f80 67.437 53.8
R 0x3f85f3ce80 67.439 46.5
R 0x2ec0df8880 67.448 50.3
R 0x5bb4bddd00 67.461 51.2
R 0x78068f1100 67.499 45.5
R 0x4e1a52a640 67.566 51.7
R 0x3685296500 67.578 53.3
R 0x77760f7280 67.590 45.3
R 0x347c223640 67.590 46.3
R 0x716d876980 67.610 54.8
R 0x21d1ac9200 67.613 46.2
R 0x3899db3b40 67.625 52.7
R 0x3c0c8ec2c0 67.642 48.1
R 0x49a3e15700 67.668 50.6
R 0x4276ddfd00 67.766 50.7
R 0x26981d680 67.778 48.7
R 0x4e5db9c500 67.825 53.0
R 0x5358e64c0 67.857 48.4
R 0x5c00b52340 67.873 50.9
R 0x68287c500 67.955 48.3
R 0x86ab59e80 67.995 46.1
R 0x136445ee40 68.047 47.0
R 0xee80af480 68.096 47.9
R 0x45827d9880 68.123 52.9
R 0x42fa108a00 68.175 49.1
R 0x27b86a5b00 68.187 47.0
R 0xea14f0b00 68.265 50.7
R 0x29bd509800 68.285 47.1
R 0x5f0bae9840 68.331 51.5
R 0x426e416a80 68.347 53.4
R 0x2fba4f8700 68.365 54.6
R 0x3c98e5d780 68.389 45.0
R 0x77760f70c0 68.398 50.7
R 0x17b4bcaa80 68.423 46.1
R 0x647338c600 68.512 53.9
R 0x19f3a4d400 68.514 52.3
R 0x3233d0dd00 68.515 54.6
R 0x46ade4ff80 68.532 49.3
R 0x43b373880 68.542 51.6
R 0x86ab59ac0 68.578 52.8
R 0x4ce0bbae80 68.589 51.4
R 0x4ed9316c00 68.594 49.7
R 0x3f38141b00 68.595 48.4
R 0x1107a79c80 68.596 46.8
R 0x4038dade40 68.663 45.1
R 0x44c71e1740 68.709 51.7
R 0x5edf121d00 68.756 51.4
R 0x5a6d16240 68.759 45.8
R 0x4e29a6f880 68.798 49.7
R 0x5d276fa6c0 68.812 46.0
R 0x302d2353c0 68.818 53.7
R 0x465f27d240 68.819 54.0
R 0x7bea479200 68.836 49.1
R 0x6640b040 68.875 49.1
R 0x66f0441500 68.879 52.3
R 0x4bf07129c0 68.889 52.3
R 0x1323197dc0 68.902 48.1
R 0x4bf0712680 68.902 54.8
R 0x40c2ce180 68.929 51.1
R 0x2d546c10c0 68.943 46.1
R 0x3059901240 68.969 47.4
R 0x6ee85c44c0 68.990 49.2
R 0x3101795100 69.011 51.8
R 0x39ceabdec0 69.028 46.1
R 0x20493ce800 69.091 54.3
R 0x2f6cc25780 69.099 52.9
R 0x1ee4423140 69.115 53.5
R 0x581b093300 69.118 47.1
R 0x2fa8bb5f00 69.164 49.7
R 0x653dfd0a40 69.197 49.2
R 0x2d8f47b2c0 69.204 54.4
R 0x16c3682580 69.223 47.1
R 0x4c1481e2c0 69.247 49.1
R 0x49ccee1d40 69.253 54.8
R 0x3c35762f00 69.257 47.1
R 0x5e04e30600 69.319 52.2
R 0x49a3e15b40 69.328 50.1
R 0x6230357740 69.330 51.6
R 0x41c921b940 69.572 51.1
R 0x47e7f8d900 69.598 53.3
R 0x1bb4caee40 69.600 53.8
R 0x557508fb40 69.651 50.3
R 0x1836331780 69.684 54.4
R 0x4276ddfb80 69.714 54.7
R 0x7e4a3edc80 69.724 49.8
R 0xea14f0f80 69.767 50.9
R 0x40b0a0e280 69.772 47.3
R 0x440b98380 69.778 46.1
R 0x7e00c232c0 69.800 52.2
R 0x741992bc80 69.814 54.8
R 0x1c98113ac0 69.819 50.2
R 0x2f1d8b5ac0 69.842 47.0
R 0x25df09f4c0 69.856 45.2
R 0x43b3735c0 69.923 48.5
R 0x66f0441b00 69.926 46.5
R 0x5b89c5c200 69.932 46.9
R 0x2be60d03c0 69.951 51.4
R 0x1277cc1640 70.004 48.1
R 0x5bb4bdd680 70.030 54.0
R 0x4e5db9c100 70.051 46.2
R 0x6d47d8fa00 70.080 49.8
R 0x45827d9fc0 70.084 48.4
R 0x5c26bd2640 70.086 51.2
R 0x25df09f580 70.086 49.8
R 0x5bb4bddfc0 70.115 51.9
R 0x7735c34040 70.131 50.3
R 0x72f62130c0 70.180 48.7
R 0x3a98ec0900 70.241 50.3
R 0x11f8fa5b40 70.291 52.0
R 0x17055f6940 70.320 49.9
R 0x3f38141f40 70.348 52.4
R 0x5b89c5c8c0 70.349 53.5
R 0x65edd04e80 70.360 50.1
R 0x3da167b880 70.385 52.2
R 0x4bf0712e40 70.388 53.7
R 0x5fc07ba280 70.421 47.9
R 0x47c7695fc0 70.479 52.9
R 0x6b2808e00 70.497 51.2
R 0x51bcbc8640 70.528 50.4
R 0x68287c080 70.536 51.8
R 0x5b3a6e3840 70.540 50.8
R 0x6a8f363340 70.592 53.1
R 0x6500496080 70.598 45.6
R 0x76e590c380 70.622 51.7
R 0x6c91c64f00 70.673 48.5
R 0x3da167b280 70.719 45.3
R 0x5613939300 70.762 47.4
R 0x65a70f1e40 70.778 46.7
R 0x2eeae21540 70.815 50.0
R 0x5654eb4d00 70.971 52.8
R 0x1156160680 70.982 54.7
R 0x3e39049080 70.990 49.2
R 0x1f16d3f440 71.054 46.7
R 0x65e2aba700 71.085 49.9
R 0x3685296900 71.096 51.9
R 0x71dfc8b540 71.195 47.4
R 0x214848cc0 71.203 51.7
R 0x1bb4cae0c0 71.231 55.0
R 0x57ea1ae9c0 71.335 49.6
R 0x14cc2a6ec0 71.362 52.2
R 0x34e1405f00 71.417 53.3
R 0x1141d80b40 71.417 48.8
R 0x60667c2fc0 71.434 53.8
R 0x71dfc8b180 71.435 46.4
R 0x1dafcca40 71.454 52.0
R 0x653dfd0c80 71.536 54.6
R 0x40c2ce800 71.556 53.6
R 0x57ea1ae500 71.603 51.2
R 0x13550e4840 71.604 50.7
R 0x6d47d8ff00 71.610 54.9
R 0x3d93220f00 71.651 49.4
R 0x39ceabde40 71.696 48.9
R 0x24ca9a1400 71.718 50.1
R 0x7735c34100 71.739 53.8
R 0xe0b43fcc0 71.801 51.8
R 0x5ed13ddc80 71.835 50.9
R 0x4e5db9ccc0 71.842 45.6
R 0x4347f40dc0 71.857 54.7
R 0x710e27c4c0 71.861 47.0
R 0x3514634e40 71.864 53.0
R 0x175c283880 71.893 47.2
R 0x6d47d8f780 71.904 53.0
R 0x3c98e5d6c0 71.908 47.5
R 0x6a050a3bc0 71.996 51.3
R 0x79b9a433c0 71.997 49.2
R 0x7bc7cbf180 72.026 49.3
R 0x4a7dda49c0 72.049 51.6
R 0x94da8e200 72.086 47.9
R 0x36aefc4a00 72.096 54.8
R 0x4dd7a9ba00 72.159 48.1
R 0x4e54883f00 72.242 46.2
R 0x4c03e792c0 72.272 49.8
R 0x35146343c0 72.274 46.8
R 0x601d941fc0 72.287 53.6
R 0x1e2f393380 72.407 51.3
R 0x7a9c9aba00 72.441 51.9
R 0x76790d8dc0 72.448 51.5
R 0x13550e46c0 72.457 50.6
R 0x66963d3200 72.461 45.2
R 0x5525d48a80 72.613 50.4
R 0x7855e32c00 72.639 45.7
R 0x6a0eb15d80 72.667 52.0
R 0x44bfa6b4c0 72.704 54.1
R 0x707b25c400 72.716 54.9
R 0x5c00b52f80 72.752 52.3
R 0x63ec2d5640 72.771 46.3
R 0x30fe113ec0 72.818 49.1
R 0x3a98ec0540 72.829 54.1
R 0x1a82100b80 72.836 52.6
R 0x2fba4f8f00 72.938 50.9
R 0x57b3eb9640 72.943 48.5
R 0x3da167b040 72.947 46.4
R 0xddbe89ac0 72.967 46.1
R 0x3158dd2980 73.022 48.0
R 0x2f149c3880 73.036 49.0
R 0x2d546c1440 73.041 46.5
R 0x2b577af5c0 73.049 54.6
R 0x77201f7100 73.052 45.8
R 0x20d6fcac0 73.115 49.3
R 0x5f69eedc0 73.177 47.6
R 0x3c98e5d4c0 73.194 49.4
R 0x28cbc7fcc0 73.197 46.7
R 0x7cacf68280 73.222 51.3
R 0x758ba16ac0 73.232 54.3
R 0x22f4299a80 73.254 46.7
R 0x29bd509540 73.261 48.9
R 0x3e39049180 73.265 50.4
R 0x42f7f61a80 73.308 53.0
R 0x2978748b40 73.347 51.1
R 0x76f672cc80 73.362 45.1
R 0x6a0706f000 73.367 48.0
R 0x76c18b1400 73.489 53.5
R 0x3fe5530f00 73.496 50.6
R 0x707b25c240 73.537 49.2
R 0x39ceabde40 73.537 51.2
R 0x35c5c3cf40 73.584 52.8
R 0x188c2d7e40 73.603 54.2
R 0x2fba4f8e00 73.635 47.6
R 0x43bfce1480 73.790 49.4
R 0x4e60186f80 73.795 49.8
R 0x25b66b6200 73.797 53.2
R 0x5602d8e680 73.804 53.6
R 0x6330be38c0 73.836 54.4
R 0x5ead39a800 73.843 48.0
R 0x6258fd2700 73.883 45.3
R 0x601d941c40 73.897 53.0
R 0xa3455a480 73.909 54.7
R 0x5cab941780 73.914 49.4
R 0x6d47d8f5c0 73.950 52.1
R 0x4e29a6ff00 74.002 54.3
R 0x394ddd1780 74.052 48.1
R 0xe07f87980 74.053 48.3
R 0x5ed13dd5c0 74.063 46.0
R 0x17fcce000 74.080 51.7
R 0x42eaefb580 74.088 53.3
R 0x5f0bae9280 74.158 54.7
R 0x44c71e18c0 74.160 49.9
R 0x3f38141f00 74.180 47.9
R 0x3a33276f80 74.221 53.3
R 0x5378d85c80 74.238 47.4
R 0x6795922c40 74.330 53.6
R 0x41d22337c0 74.332 45.3
R 0x347c223340 74.355 54.8
R 0x30fe113080 74.396 47.9
R 0x74b5d52380 74.404 49.8
R 0x5b89c5c580 74.417 54.8
R 0x1b53700c40 74.419 52.7
R 0x65edd04800 74.457 51.5
R 0x42f7f61780 74.459 54.2
R 0x3059901200 74.565 48.2
R 0x76b455bf40 74.568 54.6
R 0x443c8faf80 74.580 45.2
R 0x1c98113cc0 74.581 47.1
R 0x426e416100 74.607 50.7
R 0x484fbda180 74.640 45.1
R 0x590f4d97c0 74.657 52.5
R 0x96b60de80 74.675 52.1
R 0x24731434c0 74.684 51.7
R 0x43bfce1640 74.722 53.7
R 0x3b968f0d80 74.747 50.4
R 0x7024f62240 74.773 53.8
R 0x27dc922880 74.790 47.7
R 0x4335740140 74.865 46.4
R 0x7c5486c740 74.942 48.9
R 0x2b78b5e380 74.968 49.2
R 0x647338c8c0 74.979 46.4
R 0x2473143380 75.013 48.3
R 0x4e7bdc1f00 75.054 53.8
R 0x2993a91000 75.065 48.7
R 0x72d8cd3c00 75.079 51.7
R 0x3a01ba7540 75.115 52.0
R 0xce005ae40 75.126 49.8
R 0x74b5d525c0 75.189 46.6
R 0x3fe5530080 75.200 50.5
R 0x741992b6c0 75.204 50.1
R 0x27b86a5fc0 75.249 47.1
R 0x28b39fb380 75.268 52.8
R 0x485d972880 75.289 46.5
R 0xa595c8740 75.359 51.0
R 0x76c18b1100 75.402 50.3
R 0x6fab70100 75.478 53.3
R 0xce005adc0 75.561 45.2
R 0x66ad814540 75.593 45.8
R 0x1feb65bd80 75.596 49.2
R 0x94da8ea00 75.597 47.8
R 0x44977127c0 75.610 47.2
R 0x66f04413c0 75.619 46.8
R 0x601d941440 75.627 46.8
R 0x6210703040 75.693 49.8
R 0x7c367e6c80 75.699 48.8
R 0x58c84d2f40 75.715 46.1
R 0x2f3f1ae080 75.747 55.0
R 0x3899db3400 75.785 49.4
R 0x6210703ac0 75.789 49.9
R 0x67ad465c80 75.800 50.3
R 0x2e080bf8c0 75.845 50.9
R 0x1dafcc680 75.854 55.0
R 0x47a0290800 75.856 46.9
R 0x6795922100 75.875 51.1
R 0xe07f87680 75.909 51.5
R 0x619b2aeec0 75.917 46.8
R 0x7782271680 75.919 50.9
R 0x7c5486cc80 75.932 46.4
R 0x5654eb4240 75.992 48.1
R 0x4038dadac0 76.000 50.6
R 0x710e27ca40 76.029 52.8
R 0x759fe8d980 76.077 48.1
R 0x2ec8f4e340 76.099 48.6
R 0x5dabaa96c0 76.120 46.8
R 0x2af0bd31c0 76.150 55.0
R 0x6640b780 76.162 46.6
R 0x5af24ad440 76.174 47.2
R 0x60d2dc5f40 76.175 55.0
R 0x7df8597c80 76.242 47.0
R 0x4d1a2bfb00 76.276 49.4
R 0x747dddfcc0 76.293 49.7
R 0x5bd7a37b80 76.310 47.8
R 0x2b3c78afc0 76.317 51.0
R 0x5f0bae9f80 76.359 48.1
R 0x272bb5cac0 76.406 54.8
R 0x96b60d0c0 76.466 54.3
R 0x3a33276d80 76.494 47.6
R 0x31646a62c0 76.508 53.2
R 0x590f4d9540 76.509 54.1
R 0x3f28b4ef00 76.531 54.7
R 0xa595c8b40 76.542 51.8
R 0x2eeae21680 76.658 50.4
R 0x4a7dda48c0 76.706 54.9
R 0x60d2dc5b40 76.709 46.1
R 0x5b89c5c7c0 76.712 47.1
R 0x44a754a480 76.716 51.8
R 0x7ebfd54880 76.741 50.2
R 0x4e5db9c700 76.745 53.2
R 0x39ceabda40 76.761 53.3
R 0x6230357600 76.769 51.2
R 0x53831515c0 76.874 48.1
R 0x73492a5180 76.940 54.5
R 0x65edd04680 76.958 53.2
R 0x13a6a27700 76.966 46.0
R 0x5ead39a3c0 76.975 47.6
R 0x43357407c0 76.999 50.2
R 0x62107036c0 77.084 53.7
R 0x17b736e380 77.096 45.9
R 0x6a0817ac00 77.101 46.6
R 0x3233d0df00 77.176 53.1
R 0x7819ab1300 77.177 53.3
R 0x47e7f8d1c0 77.206 47.4
R 0x38b17c7280 77.212 53.9
R 0x60667c2c00 77.238 45.6
R 0x4ce0bba740 77.250 54.6
R 0x6e810ade40 77.271 45.9
R 0x23defd38c0 77.307 54.9
R 0x17055f69c0 77.318 45.4
R 0x1760d00f80 77.391 45.5
R 0x67ad465a40 77.418 53.7
R 0x1277cc13c0 77.448 50.7
R 0x7adbd94ac0 77.453 53.5
R 0x42a7a2f940 77.498 48.6
R 0x272bb5c5c0 77.500 52.1
R 0x89bece600 77.502 49.0
R 0x4e29a6fa80 77.507 54.1
R 0x5fffa6e300 77.588 48.7
R 0x484489d600 77.616 45.9
R 0x6330be38c0 77.619 55.0
R 0x5edf1216c0 77.654 51.0
R 0x19c55e7000 77.689 45.1
R 0x45768d32c0 77.714 45.4
R 0x2910144c80 77.718 53.1
R 0x11f8fa5040 77.735 48.9
R 0x7b6ff7a080 77.750 46.6
R 0x394ddd1f40 77.761 52.8
R 0x601d941a80 77.818 52.4
R 0x58a184c40 77.829 45.2
R 0x3bbfdd0180 77.851 46.9
R 0x43acbbdf00 77.863 46.3
R 0x5378d857c0 77.869 49.5
R 0xce005a500 77.897 53.6
R 0x3685296f00 77.960 52.2
R 0x7519220000 77.996 52.1
R 0x4817d8b840 78.019 49.2
R 0x5af24ad740 78.023 54.3
R 0x727fb31880 78.043 54.5
R 0x6b8515e040 78.183 50.3
R 0x25df09fa80 78.261 52.0
R 0x9ad0a8840 78.272 45.1
R 0x3899db37c0 78.288 53.1
R 0x2f1d8b5240 78.297 46.9
R 0x1f16d3f700 78.323 51.8
R 0x5e04e30180 78.326 51.9
R 0x4b6fedbf80 78.335 54.4
R 0x33fa97c980 78.384 47.0
R 0x7831c61700 78.392 47.3
R 0x3a62db2440 78.413 50.6
R 0xe0b43fec0 78.418 49.3
R 0x6500496840 78.422 53.0
R 0x2482e32000 78.449 47.1
R 0x5a6d16640 78.508 52.6
R 0x2b577af200 78.556 53.4
R 0x4065c9f1c0 78.558 47.1
R 0x71dfc8b880 78.561 45.5
R 0x249df8e940 78.565 45.5
R 0x704b86d680 78.568 51.3
R 0x20d6fc080 78.587 46.3
R 0x1a837d4cc0 78.617 48.0
R 0x2fbf6f1840 78.622 45.7
R 0x3a04053a80 78.638 52.3
R 0x7855e32940 78.641 49.2
R 0x19c55e7ec0 78.646 45.3
R 0x28b39fb2c0 78.669 47.4
R 0xdd520ffc0 78.714 51.2
R 0x66963d3ec0 78.741 54.6
R 0x3ab0845f80 78.784 50.5
R 0x43b373300 78.796 51.3
R 0x3685296c80 78.799 47.0
R 0xe0b43fc80 78.805 54.9
R 0x375ca1e380 78.807 48.3
R 0x5a6d169c0 78.815 45.1
R 0x428af10f40 78.823 49.8
R 0x5e04e304c0 78.826 46.2
R 0x465a122d80 78.844 50.0
R 0x47b3286300 78.863 53.3
R 0x14155e0040 78.891 54.0
R 0x5abf100680 78.894 49.9
R 0x6ee85c4d00 78.977 51.0
R 0xe07f87080 78.981 50.6
R 0x4625bb3a40 79.023 46.9
R 0x1c98113700 79.106 46.2
R 0x31646a6300 79.158 46.5
R 0x248edfe280 79.175 46.6
R 0x23f7ee2ac0 79.200 53.6
R 0x1622aa6f00 79.247 50.3
R 0x44a754a200 79.248 46.3
R 0x13a6a27a40 79.270 52.7
R 0x28b39fb8c0 79.295 54.0
R 0x7ac69f77c0 79.394 52.8
R 0x1893d16100 79.403 50.8
R 0xca042ca40 79.404 45.9
R 0x759fe8dcc0 79.417 50.5
R 0x1fa98ba8c0 79.417 45.9
R 0x1893d165c0 79.466 53.1
R 0x7c367e6ac0 79.475 53.6
R 0x42eaefb980 79.490 52.0
R 0x77201f7f80 79.513 53.2
R 0x13550e4b80 79.515 53.5
R 0x4915089b00 79.516 46.9
R 0x5e04e301c0 79.531 53.1
R 0x3901931180 79.556 45.4
R 0x76f672cf40 79.567 47.5
R 0x6ae4edfa40 79.567 47.3
R 0x3901931e00 79.585 45.0
R 0x10b2190780 79.587 53.0
R 0x43df23c2c0 79.615 52.0
R 0x2fa8bb5780 79.624 52.3
R 0x2152f5ef80 79.655 46.9
R 0x710e27c3c0 79.779 54.8
R 0x34e1405340 79.809 51.8
R 0x175c283cc0 79.829 52.3
R 0xa3455ad00 79.834 49.7
R 0x4a12977180 79.902 45.2
R 0x216cb89740 79.990 45.3
R 0x3f38141ac0 80.017 49.7
R 0x572282f380 80.044 53.8
R 0x2bb137b080 80.075 48.6
R 0x47a648a7c0 80.077 52.4
R 0x1bb4cae080 80.111 46.2
R 0x5383151100 80.132 54.7
R 0x2a9fc829c0 80.142 53.6
R 0x33fa97c5c0 80.164 48.6
R 0x6230357040 80.188 51.8
R 0x4065c9f980 80.200 54.0
